"aid","bvid","pubdate","title","description","tag","pic","type_id","user_id"
113497597806022,"BV1SsU6YZEfJ",1731836140,"在整理文件，发现了一个废案，要做完这首吗？还是写新的比较好？..","在整理文件，发现了一个废案，要做完这首吗？还是写新的比较好？..","日常","http://i2.hdslb.com/bfs/archive/857a37c3c79c60421c86018ce1702dfa8cc1e5a1.png",21,177281644
113496339518536,"BV1hPUzYWEV7",1731824100,"台球只不过是数学吗？","翻译&时轴：Yili
额外翻译、审核、时轴、后期处理：Origami Alice

本视频“Is pool actually just mathematics?” （https://www.youtube.com/watch?v=fqq8enTDzMY）
于2024年6月21日上传至油管
-----------------------------------------------------
在 Maths Gear 上有 《Love Triangle》带签名原版书：https://mathsgear.","科学科普","http://i0.hdslb.com/bfs/archive/c788a5cca3b98c1c782ec512daebdedef5445751.jpg",201,88461692
113394954932194,"BV1wPSqY6EFx",1730277600,"苇草 / MV","虚拟歌手版→BV1wPSqY6EHq
音乐：VO大自然
动画：碌匆","原创音乐","http://i0.hdslb.com/bfs/archive/5ad57ec2e4cadd7704e99d2d82b91409f9f468f6.jpg",28,177281644
113394954929373,"BV1wPSqY6EHq",1730277600,"苇草 / MV","人声本家→BV1wPSqY6EFx
演唱：绮萱
词曲：VO大自然
调教：Creuzer
动画：碌匆","VOCALOID·UTAU","http://i0.hdslb.com/bfs/archive/ccbf1a87d95da7a31eff502978bcc73accb903dd.jpg",30,177281644
113338331696532,"BV1Fay8YzEB2",1729418400,"夜鹭 / MV","我就是夜鹭！
演唱/词曲/视频：VO大自然
绘图：慢得拉草 
bass：哇哈哈哈哈密瓜 
（夜鹭相关工艺品正在设计中，稍后会上架工房）","原创音乐","http://i1.hdslb.com/bfs/archive/8b074668b45ae9f02606ef88201ed2326bd1133f.jpg",28,177281644
113287782013131,"BV1Rv2mY7EHE",1728723600,"【10人PV合作】カラスは真っ白-9番目の「？」【三周目合作】","【三周目合作】→本人发起的第三次合作
参与人员：
P1：@是阿相哦  
P2：@不_咕鸟  
P3：@白雁雁  
P4：@一个不够成熟的夕  
P5：@小豆子zyq  
P6：@理头LilRans  
P7：@陸忻遊  
P8：@金蛋蛋Geg  
P9：@MoDon某冻  
P10：@kkmfd  

-----------------------------------------------
这次合作从发起到制作完成竟然花了两年……好像没到三年吧。
不管是最开始就做完却一直被拖到现在的群友，还是最后极","综合","http://i2.hdslb.com/bfs/archive/4e67e363e743aa6bac11e2f891072a59d088849f.jpg",27,302469604
113215035936825,"BV1aTxMehEjK",1727582400,"【官方双语】直观解释大语言模型如何储存事实 | 【深度学习第7章】","本期我们剖析transformer中的多层感知器，解释他们如何来储存事实

 翻译: id est  贰鼠 校对: 贰鼠   ZSC 时间轴: id est
https://www.youtube.com/watch?v=9-Jl0dxWQs8","科学科普","http://i1.hdslb.com/bfs/archive/d00d437b17dffc389a698db4df3c9267fd61ed62.jpg",201,88461692
113096941111127,"BV1cJpbeAEE1",1725722532,"今年要完成的坑","天狼星的心脏全曲 | 完成进度（1/4）

从高中开始就期待完成的一天，希望可以在年底之前达成","日常","http://i0.hdslb.com/bfs/archive/7f70a2a604122cf21a17d5dfcda5bf83967ab63d.jpg",21,302469604
1356459246,"BV1tz421i7S7",1724321400,"逃 ❗️","少女离家出走中..
演唱：乐正绫（V3）
词曲：VO大自然
动画：ヘロイン
感谢：沈雾、橘子、流灯、风、天空P","VOCALOID·UTAU","http://i0.hdslb.com/bfs/archive/71ff623b07dd8c37962424c8ed60619af759f275.jpg",30,177281644
1506255451,"BV1TS421d7dZ",1724321100,"逃 ❗️","少女离家出走中..
演唱：乐正绫（AI）
词曲：VO大自然
调教：OQQ
动画：ヘロイン","VOCALOID·UTAU","http://i0.hdslb.com/bfs/archive/c780141e98509928b2ea739ca4fd44984c6e2d61.jpg",30,177281644
